curated_section_id,year,section_index,title,theme,source_type,semantic_source_file,original_report_file,original_start_pdf_page,original_end_pdf_page,locate_method,word_count,text_path
CUR2017_S003,2017,3,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2017-Kunskapsbaserad vård och omsorg.pdf,source/2017-2-2.pdf,34,45,exact_near_page_start,4524,data/corpus_2026/texts/curated_sections/2017/CUR2017_S003_kunskapsbaserad-vard-och-omsorg.txt
CUR2017_S004,2017,4,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2017-Säker vård och omsorg.pdf,source/2017-2-2.pdf,46,56,exact_near_page_start,3836,data/corpus_2026/texts/curated_sections/2017/CUR2017_S004_saker-vard-och-omsorg.txt
CUR2017_S005,2017,5,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2017-Jämlik vård och omsorg.pdf,source/2017-2-2.pdf,57,61,exact_near_page_start,1815,data/corpus_2026/texts/curated_sections/2017/CUR2017_S005_jamlik-vard-och-omsorg.txt
CUR2017_S006,2017,6,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2017-Tillgänglig vård och omsorg.pdf,source/2017-2-2.pdf,62,73,exact_near_page_start,4668,data/corpus_2026/texts/curated_sections/2017/CUR2017_S006_tillganglig-vard-och-omsorg.txt
CUR2018_S001,2018,1,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/txt/2018-Säker vård och omsorg.docx,source/2018-2-7.pdf,8,12,exact_near_page_start,1533,data/corpus_2026/texts/curated_sections/2018/CUR2018_S001_saker-vard-och-omsorg.txt
CUR2018_S002,2018,2,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2018-Aktuell utveckling.pdf,source/2018-2-7.pdf,13,43,exact_near_page_start,11546,data/corpus_2026/texts/curated_sections/2018/CUR2018_S002_aktuell-utveckling.txt
CUR2018_S003,2018,3,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2018-Resurser för vård och omsorg.pdf,source/2018-2-7.pdf,44,79,exact_near_page_start,12840,data/corpus_2026/texts/curated_sections/2018/CUR2018_S003_resurser-for-vard-och-omsorg.txt
CUR2018_S004,2018,4,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2018-Jämlik vård och omsorg.pdf,source/2018-2-7.pdf,80,86,exact_near_page_start,2695,data/corpus_2026/texts/curated_sections/2018/CUR2018_S004_jamlik-vard-och-omsorg.txt
CUR2018_S005,2018,5,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/txt/2018-Tillgänglig vård och omsorg.docx,source/2018-2-7.pdf,87,98,exact_near_page_start,3283,data/corpus_2026/texts/curated_sections/2018/CUR2018_S005_tillganglig-vard-och-omsorg.txt
CUR2019_S001,2019,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2019-Aktuell utveckling.pdf,source/2019-3-18.pdf,7,7,exact_near_page_start,205,data/corpus_2026/texts/curated_sections/2019/CUR2019_S001_aktuell-utveckling.txt
CUR2019_S002,2019,2,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2019-Jämlik vård och omsorg.pdf,source/2019-3-18.pdf,8,8,exact_near_page_start,129,data/corpus_2026/texts/curated_sections/2019/CUR2019_S002_jamlik-vard-och-omsorg.txt
CUR2019_S003,2019,3,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2019-Säker vård och omsorg.pdf,source/2019-3-18.pdf,8,44,exact_near_page_start,12693,data/corpus_2026/texts/curated_sections/2019/CUR2019_S003_saker-vard-och-omsorg.txt
CUR2019_S004,2019,4,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2019-Resurser för vård och omsorg.pdf,source/2019-3-18.pdf,45,58,exact_near_page_start,5004,data/corpus_2026/texts/curated_sections/2019/CUR2019_S004_resurser-for-vard-och-omsorg.txt
CUR2019_S005,2019,5,Kunskapsbaserad vård,ovrigt,legacy_title_located_in_original_report,source/Data_split/2019-Kunskapsbaserad vård.pdf,source/2019-3-18.pdf,59,97,exact_near_page_start,14049,data/corpus_2026/texts/curated_sections/2019/CUR2019_S005_kunskapsbaserad-vard.txt
CUR2019_S006,2019,6,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2019-Tillgänglig vård och omsorg.pdf,source/2019-3-18.pdf,98,116,exact_near_page_start,6444,data/corpus_2026/texts/curated_sections/2019/CUR2019_S006_tillganglig-vard-och-omsorg.txt
CUR2020_S001,2020,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2020-Aktuell utveckling.pdf,source/2020-3-6603.pdf,7,7,exact_near_page_start,187,data/corpus_2026/texts/curated_sections/2020/CUR2020_S001_aktuell-utveckling.txt
CUR2020_S002,2020,2,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2020-Resurser för vård och omsorg.pdf,source/2020-3-6603.pdf,7,7,exact_near_page_start,187,data/corpus_2026/texts/curated_sections/2020/CUR2020_S002_resurser-for-vard-och-omsorg.txt
CUR2020_S003,2020,3,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2020-Jämlik vård och omsorg.pdf,source/2020-3-6603.pdf,8,8,exact_near_page_start,107,data/corpus_2026/texts/curated_sections/2020/CUR2020_S003_jamlik-vard-och-omsorg.txt
CUR2020_S004,2020,4,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2020-Tillgänglig vård och omsorg.pdf,source/2020-3-6603.pdf,8,39,exact_near_page_start,11764,data/corpus_2026/texts/curated_sections/2020/CUR2020_S004_tillganglig-vard-och-omsorg.txt
CUR2020_S005,2020,5,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2020-Kunskapsbaserad vård och omsorg.pdf,source/2020-3-6603.pdf,40,66,exact_near_page_start,9422,data/corpus_2026/texts/curated_sections/2020/CUR2020_S005_kunskapsbaserad-vard-och-omsorg.txt
CUR2020_S006,2020,6,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2020-Säker vård och omsorg.pdf,source/2020-3-6603.pdf,67,126,exact_near_page_start,21680,data/corpus_2026/texts/curated_sections/2020/CUR2020_S006_saker-vard-och-omsorg.txt
CUR2021_S001,2021,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2021-Aktuell utveckling.pdf,source/2021-3-7249.pdf,7,7,exact_near_page_start,187,data/corpus_2026/texts/curated_sections/2021/CUR2021_S001_aktuell-utveckling.txt
CUR2021_S002,2021,2,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2021-Jämlik vård och omsorg.pdf,source/2021-3-7249.pdf,8,42,exact_near_page_start,12624,data/corpus_2026/texts/curated_sections/2021/CUR2021_S002_jamlik-vard-och-omsorg.txt
CUR2021_S003,2021,3,Kunskapsbaserad vård och,ovrigt,legacy_title_located_in_original_report,source/Data_split/2021-Kunskapsbaserad vård och.pdf,source/2021-3-7249.pdf,43,93,exact_near_page_start,18806,data/corpus_2026/texts/curated_sections/2021/CUR2021_S003_kunskapsbaserad-vard-och.txt
CUR2021_S004,2021,4,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2021-Tillgänglig vård och omsorg.pdf,source/2021-3-7249.pdf,94,130,exact_near_page_start,12776,data/corpus_2026/texts/curated_sections/2021/CUR2021_S004_tillganglig-vard-och-omsorg.txt
CUR2022_S001,2022,1,Kunskapsbaserad vård och omrsog,ovrigt,legacy_title_located_in_original_report,source/Data_split/2022-Kunskapsbaserad vård och omrsog.pdf,source/2022-3-7791.pdf,8,15,token_overlap_2_of_3,2359,data/corpus_2026/texts/curated_sections/2022/CUR2022_S001_kunskapsbaserad-vard-och-omrsog.txt
CUR2022_S002,2022,2,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2022-Aktuell utveckling.pdf,source/2022-3-7791.pdf,16,48,exact_near_page_start,12818,data/corpus_2026/texts/curated_sections/2022/CUR2022_S002_aktuell-utveckling.txt
CUR2022_S003,2022,3,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2022-Resurser för vård och omsorg.pdf,source/2022-3-7791.pdf,49,102,exact_near_page_start,20258,data/corpus_2026/texts/curated_sections/2022/CUR2022_S003_resurser-for-vard-och-omsorg.txt
CUR2022_S004,2022,4,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2022-Tillgänglig vård och omsorg.pdf,source/2022-3-7791.pdf,103,138,exact_near_page_start,11940,data/corpus_2026/texts/curated_sections/2022/CUR2022_S004_tillganglig-vard-och-omsorg.txt
CUR2023_S001,2023,1,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2023-Säker vård och omsorg.pdf,source/2023-3-8444.pdf,7,7,exact_near_page_start,196,data/corpus_2026/texts/curated_sections/2023/CUR2023_S001_saker-vard-och-omsorg.txt
CUR2023_S002,2023,2,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2023-Kunskapsbaserad vård och omsorg.pdf,source/2023-3-8444.pdf,8,8,exact_near_page_start,184,data/corpus_2026/texts/curated_sections/2023/CUR2023_S002_kunskapsbaserad-vard-och-omsorg.txt
CUR2023_S003,2023,3,Munhälsa hos äldre,munhalsa_och_tandvard,legacy_title_located_in_original_report,source/Data_split/2023-Munhälsa hos äldre.pdf,source/2023-3-8444.pdf,8,17,exact_near_page_start,2912,data/corpus_2026/texts/curated_sections/2023/CUR2023_S003_munhalsa-hos-aldre.txt
CUR2023_S004,2023,4,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2023-Aktuell utveckling.pdf,source/2023-3-8444.pdf,18,34,exact_near_page_start,6040,data/corpus_2026/texts/curated_sections/2023/CUR2023_S004_aktuell-utveckling.txt
CUR2023_S005,2023,5,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2023-Jämlik vård och omsorg.pdf,source/2023-3-8444.pdf,35,49,exact_near_page_start,5768,data/corpus_2026/texts/curated_sections/2023/CUR2023_S005_jamlik-vard-och-omsorg.txt
CUR2023_S006,2023,6,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2023-Resurser för vård och omsorg.pdf,source/2023-3-8444.pdf,50,107,exact_near_page_start,21266,data/corpus_2026/texts/curated_sections/2023/CUR2023_S006_resurser-for-vard-och-omsorg.txt
CUR2023_S007,2023,7,Tillgänglig vård,ovrigt,legacy_title_located_in_original_report,source/Data_split/2023-Tillgänglig vård.pdf,source/2023-3-8444.pdf,108,136,exact_near_page_start,9913,data/corpus_2026/texts/curated_sections/2023/CUR2023_S007_tillganglig-vard.txt
CUR2024_S001,2024,1,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2024-Jämlik vård och omsorg .pdf,source/2024-3-8991.pdf,13,21,exact_near_page_start,2531,data/corpus_2026/texts/curated_sections/2024/CUR2024_S001_jamlik-vard-och-omsorg.txt
CUR2024_S002,2024,2,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2024-Kunskapsbaserad vård och omsorg.pdf,source/2024-3-8991.pdf,22,31,exact_near_page_start,2868,data/corpus_2026/texts/curated_sections/2024/CUR2024_S002_kunskapsbaserad-vard-och-omsorg.txt
CUR2024_S003,2024,3,Kommunal hälso- och sjukvård,kommunal_halso_och_sjukvard,legacy_title_located_in_original_report,source/Data_split/2024-Kommunal hälso- och sjukvård.pdf,source/2024-3-8991.pdf,32,32,exact_near_page_start,152,data/corpus_2026/texts/curated_sections/2024/CUR2024_S003_kommunal-halso-och-sjukvard.txt
CUR2024_S004,2024,4,Munhälsa och tandvård hos äldre,munhalsa_och_tandvard,legacy_title_located_in_original_report,source/Data_split/2024-Munhälsa och tandvård hos äldre.pdf,source/2024-3-8991.pdf,33,52,exact_near_page_start,5773,data/corpus_2026/texts/curated_sections/2024/CUR2024_S004_munhalsa-och-tandvard-hos-aldre.txt
CUR2024_S005,2024,5,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2024-Säker vård och omsorg.pdf,source/2024-3-8991.pdf,53,70,exact_near_page_start,4939,data/corpus_2026/texts/curated_sections/2024/CUR2024_S005_saker-vard-och-omsorg.txt
CUR2024_S006,2024,6,Tillgänglig vård,ovrigt,legacy_title_located_in_original_report,source/Data_split/2024-Tillgänglig vård.pdf,source/2024-3-8991.pdf,71,94,exact_near_page_start,7056,data/corpus_2026/texts/curated_sections/2024/CUR2024_S006_tillganglig-vard.txt
CUR2024_S007,2024,7,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2024-Resurser för vård och omsorg.pdf,source/2024-3-8991.pdf,95,130,exact_near_page_start,9895,data/corpus_2026/texts/curated_sections/2024/CUR2024_S007_resurser-for-vard-och-omsorg.txt
CUR2025_S001,2025,1,Sammanfattning,jamlikhet_och_minoritetsperspektiv,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,8,16,manual_2025_toc,2633,data/corpus_2026/texts/curated_sections/2025/CUR2025_S001_sammanfattning.txt
CUR2025_S002,2025,2,Inledning,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,17,19,manual_2025_toc,771,data/corpus_2026/texts/curated_sections/2025/CUR2025_S002_inledning.txt
CUR2025_S003,2025,3,Hur bra är vården och omsorgen för äldre - fokus på kärnindikatorer,metod_indikatorer_och_datakallor,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,20,28,manual_2025_toc,1874,data/corpus_2026/texts/curated_sections/2025/CUR2025_S003_hur-bra-ar-varden-och-omsorgen-for-aldre-fokus-pa-karnindikatorer.txt
CUR2025_S004,2025,4,Hur är äldreomsorgens krisberedskap och civilt försvar i Sverige?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,29,30,manual_2025_toc,486,data/corpus_2026/texts/curated_sections/2025/CUR2025_S004_hur-ar-aldreomsorgens-krisberedskap-och-civilt-forsvar-i-sverige.txt
CUR2025_S005,2025,5,Hur möter omsorgen de äldres behov?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,31,48,manual_2025_toc,4811,data/corpus_2026/texts/curated_sections/2025/CUR2025_S005_hur-moter-omsorgen-de-aldres-behov.txt
CUR2025_S006,2025,6,Hur möter vården de äldres behov?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,49,63,manual_2025_toc,4507,data/corpus_2026/texts/curated_sections/2025/CUR2025_S006_hur-moter-varden-de-aldres-behov.txt
CUR2025_S007,2025,7,Hur möter tandvården de äldres behov?,munhalsa_och_tandvard,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,64,73,manual_2025_toc,2629,data/corpus_2026/texts/curated_sections/2025/CUR2025_S007_hur-moter-tandvarden-de-aldres-behov.txt
CUR2025_S008,2025,8,Hur säkerställs en trygg och säker vård och omsorg?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,74,87,manual_2025_toc,3789,data/corpus_2026/texts/curated_sections/2025/CUR2025_S008_hur-sakerstalls-en-trygg-och-saker-vard-och-omsorg.txt
CUR2025_S009,2025,9,Hur är den psykiska hälsan hos äldre?,psykisk_halsa_ensamhet_alkohol,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,88,93,manual_2025_toc,1954,data/corpus_2026/texts/curated_sections/2025/CUR2025_S009_hur-ar-den-psykiska-halsan-hos-aldre.txt
CUR2025_S010,2025,10,Hur påverkar kompetensen och kontinuitet de äldre?,personal_kompetens_och_resurser,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,94,111,manual_2025_toc,5225,data/corpus_2026/texts/curated_sections/2025/CUR2025_S010_hur-paverkar-kompetensen-och-kontinuitet-de-aldre.txt
CUR2025_S011,2025,11,Hur samordnas vård och omsorg för äldre?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,112,121,manual_2025_toc,2751,data/corpus_2026/texts/curated_sections/2025/CUR2025_S011_hur-samordnas-vard-och-omsorg-for-aldre.txt
CUR2025_S012,2025,12,Vilka främjande och förebyggande åtgärder erbjuds?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,122,127,manual_2025_toc,1495,data/corpus_2026/texts/curated_sections/2025/CUR2025_S012_vilka-framjande-och-forebyggande-atgarder-erbjuds.txt
CUR2025_S013,2025,13,Hur påverkar digitalisering och välfärdsteknik äldreomsorgen?,digitalisering_och_valfardsteknik,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,128,137,manual_2025_toc,2819,data/corpus_2026/texts/curated_sections/2025/CUR2025_S013_hur-paverkar-digitalisering-och-valfardsteknik-aldreomsorgen.txt
CUR2025_S014,2025,14,Hur mycket kostar vård och omsorg för äldre?,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,138,148,manual_2025_toc,2989,data/corpus_2026/texts/curated_sections/2025/CUR2025_S014_hur-mycket-kostar-vard-och-omsorg-for-aldre.txt
CUR2025_S015,2025,15,Referenser,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,149,153,manual_2025_toc,1692,data/corpus_2026/texts/curated_sections/2025/CUR2025_S015_referenser.txt
CUR2025_S016,2025,16,Bilagor,ovrigt,generated_2025_top_level_toc,source/2025-3-9487.pdf,source/2025-3-9487.pdf,154,166,manual_2025_toc,3466,data/corpus_2026/texts/curated_sections/2025/CUR2025_S016_bilagor.txt
